Group	Sample	seurat_clusters	.n	.frac
Treatment naive	P11_pre	c18	74	0.0467762326169406
Treatment naive	P11_pre	c19	27	0.0170670037926675
Treatment naive	P11_pre	c20	28	0.0176991150442478
Treatment naive	P11_pre	c21	48	0.0303413400758533
Treatment naive	P11_pre	c22	25	0.015802781289507
Treatment naive	P11_pre	c23	5	0.00316055625790139
Treatment naive	P11_pre	c24	32	0.0202275600505689
Treatment naive	P11_pre	c25	28	0.0176991150442478
Treatment naive	P11_pre	c26	8	0.00505689001264223
Treatment naive	P11_pre	c27	31	0.0195954487989886
Treatment naive	P11_pre	c28	44	0.0278128950695322
Treatment naive	P11_pre	c29	8	0.00505689001264223
Treatment naive	P11_pre	c30	13	0.00821744627054362
Treatment naive	P11_pre	c31	30	0.0189633375474083
Treatment naive	P11_pre	c32	2	0.00126422250316056
Treatment naive	P11_pre	c33	6	0.00379266750948167
Treatment naive	P12_pre	c1	132	0.0523601745339151
Treatment naive	P12_pre	c2	101	0.0400634668782229
Treatment naive	P12_pre	c3	102	0.0404601348671162
Treatment naive	P12_pre	c4	95	0.0376834589448631
Treatment naive	P12_pre	c5	84	0.0333201110670369
Treatment naive	P12_pre	c6	214	0.0848869496231654
Treatment naive	P12_pre	c7	207	0.0821102737009123
Treatment naive	P12_pre	c8	59	0.0234034113447045
Treatment naive	P12_pre	c9	91	0.03609678698929
Treatment naive	P12_pre	c10	84	0.0333201110670369
Treatment naive	P12_pre	c11	41	0.0162633875446251
Treatment naive	P12_pre	c12	82	0.0325267750892503
Treatment naive	P12_pre	c13	130	0.0515668385561285
Treatment naive	P12_pre	c14	73	0.0289567631892106
Treatment naive	P12_pre	c15	178	0.0706069020230067
Treatment naive	P12_pre	c16	174	0.0690202300674336
Treatment naive	P12_pre	c17	77	0.0305434351447838
Treatment naive	P12_pre	c18	26	0.0103133677112257
Treatment naive	P12_pre	c19	33	0.0130900436334788
Treatment naive	P12_pre	c20	47	0.0186433954779849
Treatment naive	P12_pre	c21	47	0.0186433954779849
Treatment naive	P12_pre	c22	44	0.017453391511305
Treatment naive	P12_pre	c23	37	0.014676715589052
Treatment naive	P12_pre	c24	69	0.0273700912336374
Treatment naive	P12_pre	c25	41	0.0162633875446251
Treatment naive	P12_pre	c26	16	0.00634668782229274
Treatment naive	P12_pre	c27	78	0.0309401031336771
Treatment naive	P12_pre	c28	31	0.0122967076556922
Treatment naive	P12_pre	c29	88	0.0349067830226101
Treatment naive	P12_pre	c30	16	0.00634668782229274
Treatment naive	P12_pre	c31	6	0.00238000793335978
Treatment naive	P12_pre	c32	12	0.00476001586671956
Treatment naive	P12_pre	c33	6	0.00238000793335978
Treatment naive	P13_pre	c1	47	0.0418149466192171
Treatment naive	P13_pre	c2	96	0.0854092526690391
Treatment naive	P13_pre	c3	82	0.0729537366548043
Treatment naive	P13_pre	c4	44	0.0391459074733096
Treatment naive	P13_pre	c5	96	0.0854092526690391
Treatment naive	P13_pre	c6	40	0.0355871886120996
Treatment naive	P13_pre	c7	25	0.0222419928825623
Treatment naive	P13_pre	c8	105	0.0934163701067616
Treatment naive	P13_pre	c9	48	0.0427046263345196
Treatment naive	P13_pre	c10	19	0.0169039145907473
Treatment naive	P13_pre	c11	9	0.00800711743772242
Treatment naive	P13_pre	c12	52	0.0462633451957295
Treatment naive	P13_pre	c13	33	0.0293594306049822
Treatment naive	P13_pre	c14	32	0.0284697508896797
Treatment naive	P13_pre	c15	29	0.0258007117437722
Treatment naive	P13_pre	c16	26	0.0231316725978648
Treatment naive	P13_pre	c17	34	0.0302491103202847
Treatment naive	P13_pre	c18	7	0.00622775800711744
Treatment naive	P13_pre	c19	29	0.0258007117437722
Treatment naive	P13_pre	c20	57	0.050711743772242
Treatment naive	P13_pre	c21	36	0.0320284697508897
Treatment naive	P13_pre	c22	9	0.00800711743772242
Treatment naive	P13_pre	c23	26	0.0231316725978648
Treatment naive	P13_pre	c24	20	0.0177935943060498
Treatment naive	P13_pre	c25	36	0.0320284697508897
Treatment naive	P13_pre	c26	14	0.0124555160142349
Treatment naive	P13_pre	c27	12	0.0106761565836299
Treatment naive	P13_pre	c28	12	0.0106761565836299
Treatment naive	P13_pre	c29	11	0.0097864768683274
Treatment naive	P13_pre	c30	22	0.0195729537366548
Treatment naive	P13_pre	c31	5	0.00444839857651246
Treatment naive	P13_pre	c32	7	0.00622775800711744
Treatment naive	P13_pre	c33	4	0.00355871886120996
Treatment naive	P14_pre	c1	102	0.053014553014553
Treatment naive	P14_pre	c2	105	0.0545738045738046
Treatment naive	P14_pre	c3	38	0.0197505197505198
Treatment naive	P14_pre	c4	125	0.064968814968815
Treatment naive	P14_pre	c5	148	0.0769230769230769
Treatment naive	P14_pre	c6	105	0.0545738045738046
Treatment naive	P14_pre	c7	59	0.0306652806652807
Treatment naive	P14_pre	c8	196	0.101871101871102
Treatment naive	P14_pre	c9	124	0.0644490644490645
Treatment naive	P14_pre	c10	79	0.0410602910602911
Treatment naive	P14_pre	c11	6	0.00311850311850312
Treatment naive	P14_pre	c12	126	0.0654885654885655
Treatment naive	P14_pre	c13	64	0.0332640332640333
Treatment naive	P14_pre	c14	46	0.0239085239085239
Treatment naive	P14_pre	c15	24	0.0124740124740125
Treatment naive	P14_pre	c16	87	0.0452182952182952
Treatment naive	P14_pre	c17	147	0.0764033264033264
Treatment naive	P14_pre	c18	39	0.0202702702702703
Treatment naive	P14_pre	c19	27	0.014033264033264
Treatment naive	P14_pre	c20	52	0.027027027027027
Treatment naive	P14_pre	c21	51	0.0265072765072765
Treatment naive	P14_pre	c22	19	0.00987525987525988
Treatment naive	P14_pre	c23	13	0.00675675675675676
Treatment naive	P14_pre	c24	18	0.00935550935550936
Treatment naive	P14_pre	c25	53	0.0275467775467775
Treatment naive	P14_pre	c26	5	0.0025987525987526
Treatment naive	P14_pre	c27	14	0.00727650727650728
Treatment naive	P14_pre	c28	21	0.0109147609147609
Treatment naive	P14_pre	c29	5	0.0025987525987526
Treatment naive	P14_pre	c30	7	0.00363825363825364
Treatment naive	P14_pre	c31	14	0.00727650727650728
Treatment naive	P14_pre	c32	5	0.0025987525987526
Treatment naive	P15_pre	c1	49	0.0343859649122807
Treatment naive	P15_pre	c2	125	0.087719298245614
Treatment naive	P15_pre	c3	146	0.102456140350877
Treatment naive	P15_pre	c4	76	0.0533333333333333
Treatment naive	P15_pre	c5	56	0.0392982456140351
Treatment naive	P15_pre	c6	70	0.0491228070175439
Treatment naive	P15_pre	c7	52	0.0364912280701754
Treatment naive	P15_pre	c8	54	0.0378947368421053
Treatment naive	P15_pre	c9	40	0.0280701754385965
Treatment naive	P15_pre	c10	52	0.0364912280701754
Treatment naive	P15_pre	c11	24	0.0168421052631579
Treatment naive	P15_pre	c12	61	0.0428070175438596
Treatment naive	P15_pre	c13	48	0.0336842105263158
Treatment naive	P15_pre	c14	50	0.0350877192982456
Treatment naive	P15_pre	c15	33	0.0231578947368421
Treatment naive	P15_pre	c16	41	0.0287719298245614
Treatment naive	P15_pre	c17	56	0.0392982456140351
Treatment naive	P15_pre	c18	22	0.0154385964912281
Treatment naive	P15_pre	c19	34	0.023859649122807
Treatment naive	P15_pre	c20	50	0.0350877192982456
Treatment naive	P15_pre	c21	25	0.0175438596491228
Treatment naive	P15_pre	c22	30	0.0210526315789474
Treatment naive	P15_pre	c23	15	0.0105263157894737
Treatment naive	P15_pre	c24	22	0.0154385964912281
Treatment naive	P15_pre	c25	39	0.0273684210526316
Treatment naive	P15_pre	c26	15	0.0105263157894737
Treatment naive	P15_pre	c27	59	0.0414035087719298
Treatment naive	P15_pre	c28	16	0.0112280701754386
Treatment naive	P15_pre	c29	9	0.00631578947368421
Treatment naive	P15_pre	c30	13	0.00912280701754386
Treatment naive	P15_pre	c31	26	0.0182456140350877
Treatment naive	P15_pre	c32	8	0.0056140350877193
Treatment naive	P15_pre	c33	9	0.00631578947368421
Treatment naive	P16_pre	c1	51	0.0427493713327745
Treatment naive	P16_pre	c2	43	0.0360435875943001
Treatment naive	P16_pre	c3	24	0.0201173512154233
Treatment naive	P16_pre	c4	49	0.0410729253981559
Treatment naive	P16_pre	c5	109	0.0913663034367142
Treatment naive	P16_pre	c6	128	0.107292539815591
Treatment naive	P16_pre	c7	41	0.0343671416596815
Treatment naive	P16_pre	c8	61	0.0511316010058676
Treatment naive	P16_pre	c9	50	0.0419111483654652
Treatment naive	P16_pre	c10	44	0.0368818105616094
Treatment naive	P16_pre	c11	28	0.0234702430846605
Treatment naive	P16_pre	c12	40	0.0335289186923722
Treatment naive	P16_pre	c13	76	0.0637049455155071
Treatment naive	P16_pre	c14	38	0.0318524727577536
Treatment naive	P16_pre	c15	18	0.0150880134115675
Treatment naive	P16_pre	c16	52	0.0435875943000838
Treatment naive	P16_pre	c17	39	0.0326906957250629
Treatment naive	P16_pre	c18	37	0.0310142497904443
Treatment naive	P16_pre	c19	36	0.030176026823135
Treatment naive	P16_pre	c20	79	0.066219614417435
Treatment naive	P16_pre	c21	16	0.0134115674769489
Treatment naive	P16_pre	c22	36	0.030176026823135
Treatment naive	P16_pre	c23	10	0.00838222967309304
Treatment naive	P16_pre	c24	3	0.00251466890192791
Treatment naive	P16_pre	c25	34	0.0284995808885163
Treatment naive	P16_pre	c26	12	0.0100586756077117
Treatment naive	P16_pre	c27	13	0.010896898575021
Treatment naive	P16_pre	c28	6	0.00502933780385583
Treatment naive	P16_pre	c29	2	0.00167644593461861
Treatment naive	P16_pre	c30	9	0.00754400670578374
Treatment naive	P16_pre	c31	9	0.00754400670578374
Treatment naive	P17_pre	c1	56	0.0517082179132041
Treatment naive	P17_pre	c2	37	0.0341643582640813
Treatment naive	P17_pre	c3	84	0.0775623268698061
Treatment naive	P17_pre	c4	24	0.0221606648199446
Treatment naive	P17_pre	c5	31	0.0286241920590951
Treatment naive	P17_pre	c6	25	0.023084025854109
Treatment naive	P17_pre	c7	24	0.0221606648199446
Treatment naive	P17_pre	c8	29	0.0267774699907664
Treatment naive	P17_pre	c9	69	0.0637119113573407
Treatment naive	P17_pre	c10	51	0.0470914127423823
Treatment naive	P17_pre	c11	72	0.0664819944598338
Treatment naive	P17_pre	c12	43	0.0397045244690674
Treatment naive	P17_pre	c13	24	0.0221606648199446
Treatment naive	P17_pre	c14	75	0.0692520775623269
Treatment naive	P17_pre	c15	22	0.0203139427516159
Treatment naive	P17_pre	c16	27	0.0249307479224377
Treatment naive	P17_pre	c17	23	0.0212373037857802
Treatment naive	P17_pre	c18	35	0.0323176361957525
Treatment naive	P17_pre	c19	63	0.0581717451523546
Treatment naive	P17_pre	c20	17	0.0156971375807941
Treatment naive	P17_pre	c21	19	0.0175438596491228
Treatment naive	P17_pre	c22	44	0.0406278855032318
Treatment naive	P17_pre	c23	5	0.00461680517082179
Treatment naive	P17_pre	c24	40	0.0369344413665743
Treatment naive	P17_pre	c25	27	0.0249307479224377
Treatment naive	P17_pre	c26	10	0.00923361034164358
Treatment naive	P17_pre	c27	8	0.00738688827331487
Treatment naive	P17_pre	c28	20	0.0184672206832872
Treatment naive	P17_pre	c29	7	0.00646352723915051
Treatment naive	P17_pre	c30	47	0.0433979686057248
Treatment naive	P17_pre	c31	12	0.0110803324099723
Treatment naive	P17_pre	c32	5	0.00461680517082179
Treatment naive	P17_pre	c33	8	0.00738688827331487
Treatment naive	P18_pre	c1	125	0.0537865748709122
Treatment naive	P18_pre	c2	150	0.0645438898450947
Treatment naive	P18_pre	c3	140	0.0602409638554217
Treatment naive	P18_pre	c4	171	0.0735800344234079
Treatment naive	P18_pre	c5	93	0.0400172117039587
Treatment naive	P18_pre	c6	121	0.052065404475043
Treatment naive	P18_pre	c7	120	0.0516351118760757
Treatment naive	P18_pre	c8	52	0.0223752151462995
Treatment naive	P18_pre	c9	67	0.0288296041308089
Treatment naive	P18_pre	c10	81	0.0348537005163511
Treatment naive	P18_pre	c11	58	0.0249569707401033
Treatment naive	P18_pre	c12	77	0.0331325301204819
Treatment naive	P18_pre	c13	86	0.0370051635111876
Treatment naive	P18_pre	c14	97	0.0417383820998279
Treatment naive	P18_pre	c15	94	0.040447504302926
Treatment naive	P18_pre	c16	94	0.040447504302926
Treatment naive	P18_pre	c17	149	0.0641135972461274
Treatment naive	P18_pre	c18	53	0.0228055077452668
Treatment naive	P18_pre	c19	28	0.0120481927710843
Treatment naive	P18_pre	c20	46	0.0197934595524957
Treatment naive	P18_pre	c21	38	0.0163511187607573
Treatment naive	P18_pre	c22	42	0.0180722891566265
Treatment naive	P18_pre	c23	8	0.00344234079173838
Treatment naive	P18_pre	c24	65	0.0279690189328744
Treatment naive	P18_pre	c25	71	0.0305507745266781
Treatment naive	P18_pre	c26	24	0.0103270223752151
Treatment naive	P18_pre	c27	55	0.0236660929432014
Treatment naive	P18_pre	c28	67	0.0288296041308089
Treatment naive	P18_pre	c29	4	0.00172117039586919
Treatment naive	P18_pre	c30	19	0.00817555938037866
Treatment naive	P18_pre	c31	19	0.00817555938037866
Treatment naive	P18_pre	c32	2	0.000860585197934596
Treatment naive	P18_pre	c33	8	0.00344234079173838
Treatment naive	P19_pre	c1	459	0.0765638031693078
Treatment naive	P19_pre	c2	190	0.0316930775646372
Treatment naive	P19_pre	c3	176	0.0293577981651376
Treatment naive	P19_pre	c4	161	0.0268557130942452
Treatment naive	P19_pre	c5	120	0.0200166805671393
Treatment naive	P19_pre	c6	540	0.0900750625521268
Treatment naive	P19_pre	c7	645	0.107589658048374
Treatment naive	P19_pre	c8	73	0.0121768140116764
Treatment naive	P19_pre	c9	193	0.0321934945788157
Treatment naive	P19_pre	c10	152	0.0253544620517098
Treatment naive	P19_pre	c11	192	0.0320266889074228
Treatment naive	P19_pre	c12	101	0.0168473728106756
Treatment naive	P19_pre	c13	470	0.0783986655546289
Treatment naive	P19_pre	c14	158	0.0263552960800667
Treatment naive	P19_pre	c15	334	0.0557130942452043
Treatment naive	P19_pre	c16	310	0.0517097581317765
Treatment naive	P19_pre	c17	149	0.0248540450375313
Treatment naive	P19_pre	c18	144	0.0240200166805671
Treatment naive	P19_pre	c19	77	0.0128440366972477
Treatment naive	P19_pre	c20	115	0.0191826522101751
Treatment naive	P19_pre	c21	55	0.00917431192660551
Treatment naive	P19_pre	c22	155	0.0258548790658882
Treatment naive	P19_pre	c23	7	0.00116763969974979
Treatment naive	P19_pre	c24	295	0.0492076730608841
Treatment naive	P19_pre	c25	123	0.0205170975813178
Treatment naive	P19_pre	c26	22	0.0036697247706422
Treatment naive	P19_pre	c27	126	0.0210175145954962
Treatment naive	P19_pre	c28	294	0.0490408673894912
Treatment naive	P19_pre	c29	97	0.0161801501251043
Treatment naive	P19_pre	c30	24	0.00400333611342786
Treatment naive	P19_pre	c31	17	0.00283569641367806
Treatment naive	P19_pre	c32	9	0.00150125104253545
Treatment naive	P19_pre	c33	12	0.00200166805671393
Treatment naive	P1_pre	c1	238	0.0592334494773519
Treatment naive	P1_pre	c2	508	0.12643106022897
Treatment naive	P1_pre	c3	548	0.136386261821802
Treatment naive	P1_pre	c4	136	0.0338476854156297
Treatment naive	P1_pre	c5	152	0.0378297660527626
Treatment naive	P1_pre	c6	102	0.0253857640617223
Treatment naive	P1_pre	c7	91	0.0226480836236934
Treatment naive	P1_pre	c8	119	0.029616724738676
Treatment naive	P1_pre	c9	127	0.0316077650572424
Treatment naive	P1_pre	c10	84	0.0209059233449477
Treatment naive	P1_pre	c11	40	0.00995520159283225
Treatment naive	P1_pre	c12	178	0.0443006470881035
Treatment naive	P1_pre	c13	114	0.0283723245395719
Treatment naive	P1_pre	c14	248	0.06172224987556
Treatment naive	P1_pre	c15	70	0.0174216027874564
Treatment naive	P1_pre	c16	64	0.0159283225485316
Treatment naive	P1_pre	c17	65	0.0161772025883524
Treatment naive	P1_pre	c18	34	0.00846192135390742
Treatment naive	P1_pre	c19	71	0.0176704828272773
Treatment naive	P1_pre	c20	124	0.03086112493778
Treatment naive	P1_pre	c21	141	0.0350920856147337
Treatment naive	P1_pre	c22	42	0.0104529616724739
Treatment naive	P1_pre	c23	61	0.0151816824290692
Treatment naive	P1_pre	c24	139	0.0345943255350921
Treatment naive	P1_pre	c25	179	0.0445495271279243
Treatment naive	P1_pre	c26	17	0.00423096067695371
Treatment naive	P1_pre	c27	23	0.00572424091587855
Treatment naive	P1_pre	c28	79	0.0196615231458437
Treatment naive	P1_pre	c29	41	0.0102040816326531
Treatment naive	P1_pre	c30	49	0.0121951219512195
Treatment naive	P1_pre	c31	55	0.0136884021901444
Treatment naive	P1_pre	c32	50	0.0124440019910403
Treatment naive	P1_pre	c33	29	0.00721752115480338
Treatment naive	P20_pre	c1	96	0.0384307445956765
Treatment naive	P20_pre	c2	76	0.0304243394715773
Treatment naive	P20_pre	c3	26	0.0104083266613291
Treatment naive	P20_pre	c4	115	0.0460368294635709
Treatment naive	P20_pre	c5	114	0.0456365092073659
Treatment naive	P20_pre	c6	73	0.0292233787029624
Treatment naive	P20_pre	c7	113	0.0452361889511609
Treatment naive	P20_pre	c8	149	0.0596477181745396
Treatment naive	P20_pre	c9	303	0.121297037630104
Treatment naive	P20_pre	c10	391	0.156525220176141
Treatment naive	P20_pre	c11	10	0.00400320256204964
Treatment naive	P20_pre	c12	248	0.0992794235388311
Treatment naive	P20_pre	c13	36	0.0144115292233787
Treatment naive	P20_pre	c14	93	0.0372297838270617
Treatment naive	P20_pre	c15	30	0.0120096076861489
Treatment naive	P20_pre	c16	54	0.0216172938350681
Treatment naive	P20_pre	c17	83	0.033226581265012
Treatment naive	P20_pre	c18	112	0.044835868694956
Treatment naive	P20_pre	c19	77	0.0308246597277822
Treatment naive	P20_pre	c20	66	0.0264211369095276
Treatment naive	P20_pre	c21	50	0.0200160128102482
Treatment naive	P20_pre	c22	29	0.011609287429944
Treatment naive	P20_pre	c23	16	0.00640512409927942
Treatment naive	P20_pre	c24	22	0.00880704563650921
Treatment naive	P20_pre	c25	31	0.0124099279423539
Treatment naive	P20_pre	c26	7	0.00280224179343475
Treatment naive	P20_pre	c27	20	0.00800640512409928
Treatment naive	P20_pre	c28	10	0.00400320256204964
Treatment naive	P20_pre	c29	4	0.00160128102481986
Treatment naive	P20_pre	c30	22	0.00880704563650921
Treatment naive	P20_pre	c31	17	0.00680544435548439
Treatment naive	P20_pre	c32	4	0.00160128102481986
Treatment naive	P20_pre	c33	1	0.000400320256204964
Treatment naive	P21_pre	c1	11	0.00600109110747409
Treatment naive	P21_pre	c2	7	0.00381887615930169
Treatment naive	P21_pre	c3	14	0.00763775231860338
Treatment naive	P21_pre	c4	201	0.109656301145663
Treatment naive	P21_pre	c5	89	0.0485542825968358
Treatment naive	P21_pre	c6	60	0.0327332242225859
Treatment naive	P21_pre	c7	77	0.0420076377523186
Treatment naive	P21_pre	c8	75	0.0409165302782324
Treatment naive	P21_pre	c9	59	0.0321876704855428
Treatment naive	P21_pre	c10	119	0.0649208947081288
Treatment naive	P21_pre	c11	53	0.0289143480632842
Treatment naive	P21_pre	c12	136	0.0741953082378614
Treatment naive	P21_pre	c13	45	0.0245499181669394
Treatment naive	P21_pre	c14	27	0.0147299509001637
Treatment naive	P21_pre	c15	69	0.0376432078559738
Treatment naive	P21_pre	c16	45	0.0245499181669394
Treatment naive	P21_pre	c17	53	0.0289143480632842
Treatment naive	P21_pre	c18	67	0.0365521003818876
Treatment naive	P21_pre	c19	101	0.055100927441353
Treatment naive	P21_pre	c20	62	0.0338243316966721
Treatment naive	P21_pre	c21	52	0.0283687943262411
Treatment naive	P21_pre	c22	62	0.0338243316966721
Treatment naive	P21_pre	c23	14	0.00763775231860338
Treatment naive	P21_pre	c24	75	0.0409165302782324
Treatment naive	P21_pre	c25	5	0.00272776868521549
Treatment naive	P21_pre	c26	61	0.033278777959629
Treatment naive	P21_pre	c27	88	0.0480087288597927
Treatment naive	P21_pre	c28	51	0.027823240589198
Treatment naive	P21_pre	c29	16	0.00872885979268958
Treatment naive	P21_pre	c30	32	0.0174577195853792
Treatment naive	P21_pre	c31	5	0.00272776868521549
Treatment naive	P21_pre	c32	1	0.000545553737043099
Treatment naive	P21_pre	c33	1	0.000545553737043099
Treatment naive	P22_pre	c1	19	0.028023598820059
Treatment naive	P22_pre	c2	24	0.0353982300884956
Treatment naive	P22_pre	c3	38	0.056047197640118
Treatment naive	P22_pre	c4	58	0.0855457227138643
Treatment naive	P22_pre	c5	30	0.0442477876106195
Treatment naive	P22_pre	c6	24	0.0353982300884956
Treatment naive	P22_pre	c7	53	0.0781710914454277
Treatment naive	P22_pre	c8	30	0.0442477876106195
Treatment naive	P22_pre	c9	28	0.0412979351032448
Treatment naive	P22_pre	c10	29	0.0427728613569322
Treatment naive	P22_pre	c11	12	0.0176991150442478
Treatment naive	P22_pre	c12	38	0.056047197640118
Treatment naive	P22_pre	c13	17	0.0250737463126844
Treatment naive	P22_pre	c14	25	0.0368731563421829
Treatment naive	P22_pre	c15	36	0.0530973451327434
Treatment naive	P22_pre	c16	19	0.028023598820059
Treatment naive	P22_pre	c17	32	0.0471976401179941
Treatment naive	P22_pre	c18	9	0.0132743362831858
Treatment naive	P22_pre	c19	28	0.0412979351032448
Treatment naive	P22_pre	c20	19	0.028023598820059
Treatment naive	P22_pre	c21	23	0.0339233038348083
Treatment naive	P22_pre	c22	14	0.0206489675516224
Treatment naive	P22_pre	c23	4	0.00589970501474926
Treatment naive	P22_pre	c24	10	0.0147492625368732
Treatment naive	P22_pre	c25	7	0.0103244837758112
Treatment naive	P22_pre	c26	9	0.0132743362831858
Treatment naive	P22_pre	c27	20	0.0294985250737463
Treatment naive	P22_pre	c28	5	0.00737463126843658
Treatment naive	P22_pre	c29	5	0.00737463126843658
Treatment naive	P22_pre	c30	3	0.00442477876106195
Treatment naive	P22_pre	c31	6	0.00884955752212389
Treatment naive	P22_pre	c33	4	0.00589970501474926
Treatment naive	P23_pre	c1	53	0.0253953042644945
Treatment naive	P23_pre	c2	93	0.0445615716339243
Treatment naive	P23_pre	c3	84	0.0402491614758026
Treatment naive	P23_pre	c4	139	0.0666027791087686
Treatment naive	P23_pre	c5	168	0.0804983229516052
Treatment naive	P23_pre	c6	98	0.046957355055103
Treatment naive	P23_pre	c7	84	0.0402491614758026
Treatment naive	P23_pre	c8	180	0.0862482031624341
Treatment naive	P23_pre	c9	78	0.0373742213703881
Treatment naive	P23_pre	c10	73	0.0349784379492094
Treatment naive	P23_pre	c11	30	0.0143747005270724
Treatment naive	P23_pre	c12	102	0.048873981792046
Treatment naive	P23_pre	c13	88	0.0421657882127456
Treatment naive	P23_pre	c14	73	0.0349784379492094
Treatment naive	P23_pre	c15	47	0.02252036415908
Treatment naive	P23_pre	c16	73	0.0349784379492094
Treatment naive	P23_pre	c17	99	0.0474365117393388
Treatment naive	P23_pre	c18	38	0.0182079540009583
Treatment naive	P23_pre	c19	51	0.024436990896023
Treatment naive	P23_pre	c20	83	0.0397700047915668
Treatment naive	P23_pre	c21	66	0.0316243411595592
Treatment naive	P23_pre	c22	33	0.0158121705797796
Treatment naive	P23_pre	c23	41	0.0196454240536655
Treatment naive	P23_pre	c24	12	0.00574988021082894
Treatment naive	P23_pre	c25	39	0.0186871106851941
Treatment naive	P23_pre	c26	29	0.0138955438428366
Treatment naive	P23_pre	c27	60	0.0287494010541447
Treatment naive	P23_pre	c28	6	0.00287494010541447
Treatment naive	P23_pre	c29	13	0.00622903689506469
Treatment naive	P23_pre	c30	27	0.0129372304743651
Treatment naive	P23_pre	c31	13	0.00622903689506469
Treatment naive	P23_pre	c32	11	0.0052707235265932
Treatment naive	P23_pre	c33	3	0.00143747005270724
Treatment naive	P24_pre	c1	38	0.0352504638218924
Treatment naive	P24_pre	c2	72	0.0667903525046382
Treatment naive	P24_pre	c3	60	0.0556586270871985
Treatment naive	P24_pre	c4	75	0.0695732838589982
Treatment naive	P24_pre	c5	68	0.0630797773654917
Treatment naive	P24_pre	c6	42	0.038961038961039
Treatment naive	P24_pre	c7	39	0.036178107606679
Treatment naive	P24_pre	c8	31	0.0287569573283859
Treatment naive	P24_pre	c9	40	0.0371057513914657
Treatment naive	P24_pre	c10	16	0.0148423005565863
Treatment naive	P24_pre	c11	22	0.0204081632653061
Treatment naive	P24_pre	c12	46	0.0426716141001855
Treatment naive	P24_pre	c13	28	0.025974025974026
Treatment naive	P24_pre	c14	47	0.0435992578849722
Treatment naive	P24_pre	c15	37	0.0343228200371058
Treatment naive	P24_pre	c16	31	0.0287569573283859
Treatment naive	P24_pre	c17	46	0.0426716141001855
Treatment naive	P24_pre	c18	31	0.0287569573283859
Treatment naive	P24_pre	c19	21	0.0194805194805195
Treatment naive	P24_pre	c20	28	0.025974025974026
Treatment naive	P24_pre	c21	31	0.0287569573283859
Treatment naive	P24_pre	c22	19	0.0176252319109462
Treatment naive	P24_pre	c23	12	0.0111317254174397
Treatment naive	P24_pre	c24	54	0.0500927643784787
Treatment naive	P24_pre	c25	34	0.0315398886827458
Treatment naive	P24_pre	c26	7	0.00649350649350649
Treatment naive	P24_pre	c27	11	0.0102040816326531
Treatment naive	P24_pre	c28	40	0.0371057513914657
Treatment naive	P24_pre	c29	15	0.0139146567717996
Treatment naive	P24_pre	c30	12	0.0111317254174397
Treatment naive	P24_pre	c31	14	0.012987012987013
Treatment naive	P24_pre	c32	7	0.00649350649350649
Treatment naive	P24_pre	c33	4	0.00371057513914657
Treatment naive	P25_pre	c1	319	0.0584784601283226
Treatment naive	P25_pre	c2	158	0.0289642529789184
Treatment naive	P25_pre	c3	274	0.0502291475710357
Treatment naive	P25_pre	c4	84	0.0153987167736022
Treatment naive	P25_pre	c5	158	0.0289642529789184
Treatment naive	P25_pre	c6	41	0.0075160403299725
Treatment naive	P25_pre	c7	27	0.00494958753437214
Treatment naive	P25_pre	c8	110	0.0201649862511457
Treatment naive	P25_pre	c9	38	0.00696608615948671
Treatment naive	P25_pre	c10	56	0.0102658111824015
Treatment naive	P25_pre	c11	167	0.0306141154903758
Treatment naive	P25_pre	c12	63	0.0115490375802017
Treatment naive	P25_pre	c13	106	0.0194317140238313
Treatment naive	P25_pre	c14	287	0.0526122823098075
Treatment naive	P25_pre	c15	53	0.00971585701191567
Treatment naive	P25_pre	c16	29	0.00531622364802933
Treatment naive	P25_pre	c17	98	0.0179651695692026
Treatment naive	P25_pre	c18	22	0.00403299725022915
Treatment naive	P25_pre	c19	179	0.032813932172319
Treatment naive	P25_pre	c20	119	0.0218148487626031
Treatment naive	P25_pre	c21	104	0.0190650779101742
Treatment naive	P25_pre	c22	110	0.0201649862511457
Treatment naive	P25_pre	c23	1275	0.233730522456462
Treatment naive	P25_pre	c24	98	0.0179651695692026
Treatment naive	P25_pre	c25	41	0.0075160403299725
Treatment naive	P25_pre	c26	47	0.00861594867094409
Treatment naive	P25_pre	c27	16	0.00293308890925756
Treatment naive	P25_pre	c28	63	0.0115490375802017
Treatment naive	P25_pre	c29	654	0.119890009165903
Treatment naive	P25_pre	c30	149	0.027314390467461
Treatment naive	P25_pre	c31	17	0.00311640696608616
Treatment naive	P25_pre	c32	404	0.0740604949587534
Treatment naive	P25_pre	c33	19	0.00348304307974335
Treatment naive	P25_pre	c34	70	0.0128322639780018
Treatment naive	P26_pre	c1	8	0.0284697508896797
Treatment naive	P26_pre	c2	9	0.0320284697508897
Treatment naive	P26_pre	c3	6	0.0213523131672598
Treatment naive	P26_pre	c4	21	0.0747330960854092
Treatment naive	P26_pre	c5	24	0.0854092526690391
Treatment naive	P26_pre	c6	13	0.0462633451957295
Treatment naive	P26_pre	c7	11	0.0391459074733096
Treatment naive	P26_pre	c8	18	0.0640569395017794
Treatment naive	P26_pre	c9	18	0.0640569395017794
Treatment naive	P26_pre	c10	15	0.0533807829181495
Treatment naive	P26_pre	c11	3	0.0106761565836299
